,name,city
1573,Donald Pearson,Gloriaside
1574,Brandi Alvarez,Samuelside
1575,Kristen Harrell,Montestown
1576,Donna Garcia,North Judyville
1577,Joseph Vargas,Ryanhaven
1578,Arthur Herman,New Leroychester
1579,David Gibson,New Reginaldhaven
1580,Joseph Ingram,Kellerton
1581,Martha Taylor,Brentmouth
1582,Shannon Bean,Annafurt
1583,Pamela Montgomery,Jonesview
1584,Jacob Moyer,New Sherryville
1585,Juan Campos,Jaredburgh
1586,Roger Rodriguez,North Vanessa
1587,Matthew Farley,Lynchburgh
1588,Christopher Larson,Johnstonport
1589,Timothy Rodriguez,Jennifershire
1590,Brent Deleon,Gomezton
1591,Kimberly Mason,North Norma
1592,Andrea Phillips,Lake Dominic
1593,Brian Kennedy,Robertstad
1594,Nicole Gutierrez,East Micheleview
1595,Jennifer Schultz,Latoyamouth
1596,Danielle Bond,East Johnborough
1597,John Cruz,Jenniferchester
1598,Victoria Hoover,Marybury
1599,Mindy Griffith,Kingmouth
1600,Aaron Solomon,West Jeffreyberg
1601,Derek Parks,Travischester
1602,Christopher Rodriguez,Hernandezville
1603,Andre Rhodes,Cooperland
1604,Carolyn Tanner,Smithmouth
1605,Angel Short,Ramosfurt
1606,Lisa Myers,West Phillip
1607,Nathan Knapp,Curtishaven
1608,Morgan Davidson,Samanthaport
1609,Elizabeth Brown,East Elizabeth
1610,Rhonda Oliver,Lake Maria
1611,Stacy Nunez,Benjaminmouth
1612,Lisa Mckay,Melindaview
1613,Leslie Reynolds,Port Alejandroshire
1614,James Craig,South Richardborough
1615,Martin Huffman,Michaelton
1616,Rachel Williams,Lake Tammy
1617,Ashley Page,West Kaylee
1618,Jamie Alexander,Evansshire
1619,Timothy Wiggins,Port Bethany
1620,Barry Hobbs,Smithville
1621,Dana Nelson,Port Jack
1622,Kathleen Baker,Brianton
1623,Angela Ortiz,Cookstad
1624,William Wright,Garretthaven
1625,John Duncan,Welchhaven
1626,Mitchell Andrews,South Jesus
1627,Mark Cooper,Smithland
1628,Carol Kline,North Dennisshire
1629,Troy Jones,Careymouth
1630,Patrick Salinas,Lake Kayla
1631,Troy Melton,West Raymondberg
1632,Aaron Brown,Scottshire
1633,Scott Cunningham,Lake Jaclynton
1634,Rebecca Lee,Sellersfurt
1635,Joe Smith,Brittanybury
1636,Sierra Riley,North Darrylport
1637,Mark Lowe,Davefurt
1638,Jose Smith,Sarahmouth
1639,Joshua Mcdonald,North Justin
1640,Matthew Smith,Arnoldmouth
1641,Susan Sanchez,East Anthony
1642,Paul Pearson,Garciabury
1643,Tina Blankenship,East Yvette
1644,William Mcfarland,New Jennifer
1645,Troy Francis,New Theresa
1646,Elizabeth Williams,West James
1647,Bobby Sanchez,Stephanieburgh
1648,Shawn Palmer,Charlesfort
1649,Adam Lyons,Mccarthytown
1650,Nathan Lambert,Port Jeremy
1651,Peter Ryan,West Ashleymouth
1652,Rhonda Johnson,West Timothy
1653,Angela Santos,Port Morgan
1654,John Mccormick,Burgessside
1655,Elizabeth Kennedy,Port Cheryl
1656,Morgan Thomas,Williamshire
1657,Bobby Thompson,Lake Ashleyfurt
1658,Janice Black,Vanessaville
1659,Tyler Steele,Millsville
1660,Dr. Scott Ritter,East Brianmouth
1661,Neil Lee,Port Brandyfurt
1662,Rita Sanchez,Port Dylan
1663,Daniel Walker,West Victoria
1664,Anthony Lloyd,East John
1665,Kyle Gomez,Evanston
1666,Laura Fuller,Marquezmouth
1667,Levi Lozano,Johnsbury
1668,Heather Lynch,West Susanfurt
1669,Michael English,Tiffanyland
1670,Jeffrey Fox,Charlesmouth
1671,Michael Le,Maryhaven
1672,Mallory Bennett,Scottstad
1673,Christopher Sanders,New Dawn
1674,Jason Bailey,South Sara
1675,Heidi Russell,Smithport
1676,James Adams,Jenniferton
1677,James Arias,North Danny
1678,Felicia Ellis,South Trevor
1679,Jessica Carter,Garciaberg
1680,David Sims,North Sethtown
1681,Mr. Christian Rocha,Jasmineborough
1682,Jeffrey Blake,Heidifurt
1683,Cheryl Hunter,South Billyshire
1684,Julie Shaw,Saundersmouth
1685,Emma Shepard,Bakermouth
1686,Timothy Miller,Danielhaven
1687,Ana Thomas,Mcdanielborough
1688,Anthony Herring,Benjaminchester
1689,Nathan Chandler,South Staceyport
1690,Amanda Reese,Lisaville
1691,Bruce Khan,West Nicoleland
1692,Wendy Nichols,North Lauren
1693,Donna Knight,Port Jessicamouth
1694,Jill Walsh,Christophermouth
1695,Ryan Clarke,West Ashley
1696,Dominique Valdez,Bethmouth
1697,Thomas Barnes,North Robintown
1698,Wendy Crane,Perkinsfort
1699,Danielle Mccall,South Linda
1700,Kathleen Rivera,Port Duane
1701,Jeremiah Jackson,North Ashley
1702,Kenneth Pacheco,Lake Mary
1703,Dean Shaffer,East Matthew
1704,Andres Frank,Bellburgh
1705,Erin Brown,Henrytown
1706,Ashley Young,Dannyburgh
1707,Mrs. Hannah Warner MD,Claudiashire
1708,Paul Carson,Tiffanybury
1709,Tammy Merritt,Russofurt
1710,Jennifer Young,Millerport
1711,Melissa Guzman,Lake Erica
1712,Richard Sloan,Tracytown
1713,Luis Diaz,East Brian
1714,Tracy Camacho,Whiteview
1715,Sierra Johnson,Lesliefurt
1716,Christian Simon,Port Bettyton
1717,Kevin Olson MD,Michaelview
1718,Phillip Carpenter,South Jill
1719,Marc Brooks,South Dale
1720,Brandon Williams,North Austin
1721,Tonya Robertson,Bonniechester
1722,Jordan Jenkins,East Lanceburgh
1723,Nathan Reynolds,East Russellton
1724,Benjamin Carlson,South Triciaton
1725,Emily Andrews MD,Lake Stacey
1726,Alicia Farrell,New Brianton
1727,Rebecca Santos,New John
1728,Robert Morgan,North Ruthchester
1729,Christina Williams MD,Nelsonburgh
1730,Jennifer Anderson,Nicolebury
1731,Tina Nelson,Mendozaberg
1732,David Robinson,South Ian
1733,Jessica Avila,Benjaminland
1734,Timothy Johnson,Bryanstad
1735,Miranda Carson,Jamesborough
1736,Andrea Brewer,Christinamouth
1737,Mark Myers,Petersonville
1738,Albert Leach,Bakermouth
1739,Adam Hensley,North Wendyport
1740,Philip Perez,Port Curtis
1741,Kimberly White,East Lauren
1742,Douglas Myers,South Roberttown
1743,Joseph Tyler,South Deborah
1744,Beth Figueroa,New Kenneth
1745,Heather Bentley,Lake William
1746,Mark Andrews,Briggsberg
1747,Jennifer Hudson,Port Bridget
1748,Jacqueline Galloway,West Robert
1749,David Rose,South Andrewbury
1750,Denise York,Amandaside
1751,Tracy Campbell,Jamesside
1752,Erik Olson,Port Williechester
1753,Franklin Turner,Derrickmouth
1754,Madison Hernandez,South Erin
1755,Vanessa Browning,Millerborough
1756,David Shah,East Bruce
1757,Travis Nielsen,East Michaelchester
1758,Virginia Grant,Jacquelineborough
1759,Sherry Mccullough,Riveraside
1760,Teresa Rivera,Porterberg
1761,Laura Smith,West Breanna
1762,Nicole Shelton,Christopherberg
1763,Nicholas Garcia,Collinsfurt
1764,Edward Jimenez,Kyleberg
1765,Jasmine Lee,East Cynthia
1766,Alexandra Arnold,Cantrellside
1767,Bill Flores,West Natashastad
1768,Jonathan Gonzalez,Freemanberg
1769,Margaret Brewer,New Jennifer
1770,Kevin Phillips,Shanehaven
1771,Ronald Klein,Davidmouth
1772,Nicole Cameron,East Whitneymouth
1773,Desiree Saunders,South Jenniferville
1774,Kathryn Charles,Silvaview
1775,Jose Figueroa,Austinland
1776,Jonathan Williams,West Danielmouth
1777,Lori Mcdonald,West Sheryl
1778,Mark Lane,Washingtonstad
1779,Jared Mccullough,Kylemouth
1780,Melissa Sanders,North Kennethshire
1781,Leah Solomon,Johnsonview
1782,Wayne Davis,North Beverly
1783,Jordan Moreno,Kimberlychester
1784,Beth Olson,East Juan
1785,Kimberly Smith,East Dannyville
1786,Jessica Rowland,New Christopherfurt
1787,Isaiah Clark,Port Ericport
1788,Cynthia Chambers,New Megantown
1789,Grant Gilbert,West Alex
1790,Amber Sanders,Harmonhaven
1791,Laura Holland,East Alanchester
1792,Kyle Stewart,Moorefort
1793,Laura Parks,West Timothyborough
1794,Angela Whitehead,Jasminemouth
1795,Kenneth Russell,New Stephanieview
1796,Matthew Cisneros,South Alyssa
1797,Christopher Williams,Lake Cynthia
1798,Ryan Olson,New Heatherland
1799,Robert Price,Birdton
1800,Ashley Newman MD,Patelton
1801,Charles Thompson,West Robinberg
1802,Jose Mcgee,North Brittanyberg
1803,Casey Smith,Laurenmouth
1804,Monique Davis,West Janicefurt
1805,Bradley Palmer,Lake Deborahberg
1806,Jason Ho,Lake Alicia
1807,Noah Kaiser,Anthonyfurt
1808,Thomas Bradley,East Brittneyborough
1809,Phillip Parrish,South Josephmouth
1810,Vanessa Torres,North Ninaport
1811,Justin Moore MD,Arthurstad
1812,Caroline Robinson,East Rachelton
1813,Elizabeth Navarro,Thompsonchester
1814,Joshua Petersen,Lake Adam
1815,Michael Davis,New Matthew
1816,Dominic Hale,Jeremychester
1817,Eric Lee,West Jeffrey
1818,Cynthia Mclean,Port Leah
1819,Andrew Garcia,Franklinside
1820,Alexis Bradshaw,New Heather
1821,Stacey Huerta,Davishaven
1822,Ronald Williams,East Matthew
1823,Erik Gardner,Lake Jasonfurt
1824,Shannon Schultz,Gabrielton
1825,Kimberly Wood,North Kenneth
1826,Renee Pierce,Tammychester
1827,Jessica Rodriguez,Lake George
1828,Patricia Rodriguez,West Thomaschester
1829,James Alvarez,North Markland
1830,Joseph Reeves,Davidmouth
1831,Amber Michael,West Lindahaven
1832,Leah Pugh,Connorfort
1833,Mrs. Stephanie Caldwell,Meagantown
1834,Jason Mendez,Brianhaven
1835,Tiffany Jennings,Millerview
1836,Jeffrey Sanders,North Eduardo
1837,Shelly Webster,New Samantha
1838,David Heath,Devinland
1839,Curtis Sanchez,Desireeburgh
1840,Raven Ray,North Lukefort
1841,Gabrielle Rivers,Hayesstad
1842,Joshua Thompson,Robertfurt
1843,Denise Robinson,Carterborough
1844,Emily Jackson,Port Marcberg
1845,Peter Martinez,Martineztown
1846,Jacqueline Klein,Lindaport
1847,Sarah Chavez,Frankport
1848,Brianna Huffman,Dylanmouth
1849,Glen Taylor,Petersview
1850,Angela Chambers,Kimberlyside
1851,William Horton,Lake Richard
1852,Russell Diaz,Port Veronica
1853,Jill Taylor,East Edward
1854,Jason Mosley,Port Jenniferland
1855,Robert Combs,Port Danielton
1856,Pamela English,Jessicashire
1857,Stephanie Knight,West Ericahaven
1858,Brenda Smith,North Judithberg
1859,Dana Lewis,Jacquelineborough
1860,Jonathan Burgess,Cynthiahaven
1861,Sara Washington,Robinsonville
1862,Kathleen Fleming,Foxton
1863,Nicholas Waters,Wilsonview
1864,Patricia Soto,New Justinfurt
1865,Heather Smith,West Marymouth
1866,Heather Flores,Port Sethhaven
1867,Tiffany Kerr,North Antonioview
1868,Colin Owens,Anthonyland
1869,Debra Lewis,Port Elizabethtown
1870,Ryan Torres,Riggsberg
1871,Heather Mcdaniel,Port James
1872,Angela Stevenson,North Richard
1873,Christina Miller,Port Steven
1874,Judy Thornton,Scottton
1875,Courtney Moore,South Richard
1876,Alexander Newman,Thomasside
1877,Eric Armstrong,Randolphmouth
1878,Andrea Deleon,Jeffreyview
1879,Juan Brewer,Cunninghamport
1880,Jennifer Myers,West Arthurmouth
1881,Erik Marshall,Simmonsville
1882,Angela Douglas,Burnsmouth
1883,Christina Leon,Colleenview
1884,Amanda Wells,West Jasonland
1885,Jose Miller,East Beth
1886,Jennifer Gutierrez,Cynthiaview
1887,Mr. Brian Fritz DDS,South Brandon
1888,Samuel Mitchell,Eugeneborough
1889,Rodney Rice,Garyport
1890,Gerald Taylor,North Josephburgh
1891,Stacy West,East Anthony
1892,Jacob Wright,Karenbury
1893,Michelle Kelly,Port Gary
1894,Jeffrey Vasquez,South Richardchester
1895,Joseph Mayer,Porterville
1896,Vickie Barry,Kevinside
1897,Jasmine Marks,West Maryview
1898,Eric Campos,Port Kevinberg
1899,Jennifer Nelson,West Wayneshire
1900,Andrew Chavez Jr.,New Jessica
1901,Christian Garza,Lake Katie
1902,Kyle Ward,South Jacquelinestad
1903,Austin Duran,East Jeffrey
1904,Taylor Olson,New Wendy
1905,Donna Daniel,Charlesmouth
1906,Howard Davis,Lake William
1907,Gregory Jackson,New Lorichester
1908,Michelle Sanchez,Lake Davidville
1909,Tracy Leonard,North Brookeville
1910,Rebecca Parker,Morganchester
1911,Angela Robinson,Cassidyburgh
1912,Kimberly Carney,Michaelstad
1913,Laura Chung,Haleyburgh
1914,James Short,Port Brooke
1915,Dr. Samantha Hunter,New Steven
1916,Andrea Gutierrez,Yangtown
1917,Cassandra Baker,South Jennifer
1918,Albert Palmer,Nicholasside
1919,James Hamilton,North Marthamouth
1920,John Thompson,East Steven
1921,Kristine Villegas,Lake Donaldchester
1922,Randall Hicks,New Todd
1923,Alex Zamora,Brennanfort
1924,Mr. Brandon Cox,Maryland
1925,Taylor Gordon,North Yvonne
1926,Jacqueline Wright,North Michelestad
1927,Christopher Williams,West Jeffreyshire
1928,Charles Stone,Lake Jamesmouth
1929,Kevin Berger,Port John
1930,Dr. Valerie Reyes DDS,South Robert
1931,Michael Nguyen,South Andrewview
1932,Mary Pope MD,New Steven
1933,Justin Douglas,West Reneeshire
1934,Marcus Green,Port Susanfort
1935,Angela Jones,South Nicolestad
1936,Sarah Esparza,West Deborah
1937,Bradley Davis,West Thomaston
1938,David Davis,Craigmouth
1939,Edward Fields,Millerville
1940,John Mack,Aaronfort
1941,Kimberly Sims,Johnsonstad
1942,Mrs. Sara Meza,Juarezside
1943,Kevin Ward,New Tarabury
1944,Erica Wood,Port Brian
1945,Patrick Gray,Port Christopher
1946,Cody Young,Riverabury
1947,Danielle Vega,North Donna
1948,Jose Burgess,New Ricky
1949,Kelly Horn,Lisaview
1950,Michael Combs,Lake Joshuatown
1951,Stephanie Anderson,Gordontown
1952,Patricia Sampson,South Tyler
1953,April Jones,Kellyborough
1954,Eric Garcia,Aguilarbury
1955,Scott Brown,Davidburgh
1956,Chelsea Patterson,Traceyberg
1957,Melissa Bowman,Aguilarmouth
1958,Cindy Phillips,Herringchester
1959,Robert James,East Matthew
1960,Charles Young MD,Phelpsville
1961,Jacob Williams,Graybury
1962,Greg Roberts,Birdburgh
1963,Michelle Ramos,Lake Katherineview
1964,James Rivas,Billymouth
1965,Amanda Trevino,North Jacobmouth
1966,Larry Davis,Brennanmouth
1967,Terry Berry,West Jacobton
1968,Matthew Harris,South Steven
1969,Laura Maxwell,East Coryburgh
1970,Joseph Walls,Hurleyville
1971,Travis Reyes,New Selena
1972,David Roberts,Charlesbury
1973,Joseph Miller,North Stephenmouth
1974,Pamela Graves,Stephaniemouth
1975,Michael White,Port Robert
1976,Sarah Morton,Lake Justin
1977,Melissa Smith,North Maxmouth
1978,Lorraine Smith,Robinstad
1979,Paula Krause,Petersonland
1980,Nicole Nguyen,West Tylerbury
1981,Denise Richard,North Carmen
1982,Stephen Schaefer,Port Matthew
1983,Rhonda Lewis,Sarahville
1984,Nathaniel Bond,South Debbieview
1985,Kelli Anthony,Port Phillip
1986,Jason Howard,Matthewburgh
1987,Valerie Roberts,Lake Amy
1988,Robyn Horton,Brianland
1989,Hannah Sanchez,Lake Todd
1990,Lisa Garcia,Allisontown
1991,Nancy Gonzalez,Samanthaville
1992,Jamie Barrett,Patelland
1993,Lori Hoffman,Darlenetown
1994,Jennifer Potter,Fisherberg
1995,Edwin Allen,East Brianside
1996,Mitchell Patel,East Josephside
1997,David Mitchell,Port Dominiquehaven
1998,Laura Bentley,Port Anthonybury
1999,Christopher Jackson,Port Dianefort
2000,Crystal Davis,Jonesmouth
